object,ms,R (Mpc),v (km/sec),mt,Mt,"D from mt,Mt",,,,,,,,,
S.Mag.,..,0.032,170,1.5,-16.0,0.03,Slope when Intercept set to zero,423.901701290206,km/sec/Mpc,,,,,,
L.Mag.,..,0.03,290,0.5,-17.2,0.03,,,,,,,,,
N.G.C.6822,..,0.214,-130,9,-12.7,0.22,Slope,453.85999408475,km/sec/Mpc,,,,,,
598,..,0.263,-70,7,-15.1,0.26,Intercept,-40.4360087766413,km/sec,,,,,,
221,..,0.275,-185,8.8,-13.4,0.28,R Squared,0.623168376295362,,,,,,,
224,..,0.275,-220,5,-17.2,0.28,,,,,,,,,
5457,17,0.45,200,9.9,-13.3,0.44,,,,,,,,,
4736,17.3,0.5,290,8.4,-15.1,0.50,,,,,,,,,
5194,17.3,0.5,270,7.4,-16.1,0.50,,,,,,,,,
4449,17.8,0.63,200,9.5,-14.5,0.63,,,,,,,,,
4214,18.3,0.8,300,11.3,-13.2,0.79,,,,,,,,,
3031,18.5,0.9,-30,8.3,-16.4,0.87,,,,,,,,,
3627,18.5,0.9,650,9.1,-15.7,0.91,,,,,,,,,
4826,18.5,0.9,150,9,-15.7,0.87,,,,,,,,,
5236,18.5,0.9,500,10.4,-14.4,0.91,,,,,,,,,
1068,18.7,1,920,9.1,-15.9,1.00,,,,,,,,,
5055,19,1.1,450,9.6,-15.6,1.10,,,,,,,,,
7331,19,1.1,500,10.4,-14.8,1.10,,,,,,,,,
4258,19.5,1.4,500,8.7,-17.0,1.38,,,,,,,,,
4151,20,1.7,960,12,-14.2,1.74,,,,,,,,,
4382,..,2,500,10,-16.5,2.00,,,,,,,,,
4472,..,2,850,8.8,-17.7,2.00,,,,,,,,,
4486,..,2,800,9.7,-16.8,2.00,,,,,,,,,
4649,..,2,1090,9.5,-17.0,2.00,,,,,,,,,
Table 1,,,,,-15.5,,,,,,,,,,
